market,sales,TV,radio,newspaper
98,15.5,184.9,21,22
99,25.4,289.7,42.3,51.2
100,17.2,135.2,41.7,45.9
101,11.7,222.4,4.3,49.8
102,23.8,296.4,36.3,100.9
103,14.8,280.2,10.1,21.4
104,14.7,187.9,17.2,17.9
105,20.7,238.2,34.3,5.3
106,19.2,137.9,46.4,59
107,7.2,25,11,29.7
108,8.7,90.4,0.3,23.2
109,5.3,13.1,0.4,25.6
110,19.8,255.4,26.9,5.5
111,13.4,225.8,8.2,56.5
112,21.8,241.7,38,23.2
113,14.1,175.7,15.4,2.4
114,15.9,209.6,20.6,10.7
115,14.6,78.2,46.8,34.5
116,12.6,75.1,35,52.7
117,12.2,139.2,14.3,25.6
118,9.4,76.4,0.8,14.8
119,15.9,125.7,36.9,79.2
120,6.6,19.4,16,22.3
121,15.5,141.3,26.8,46.2
122,7,18.8,21.7,50.4
123,11.6,224,2.4,15.6
124,15.2,123.1,34.6,12.4
125,19.7,229.5,32.3,74.2
126,10.6,87.2,11.8,25.9
127,6.6,7.8,38.9,50.6
128,8.8,80.2,0,9.2
129,24.7,220.3,49,3.2
130,9.7,59.6,12,43.1
131,1.6,0.7,39.6,8.7
132,12.7,265.2,2.9,43
133,5.7,8.4,27.2,2.1
134,19.6,219.8,33.5,45.1
135,10.8,36.9,38.6,65.6
136,11.6,48.3,47,8.5
137,9.5,25.6,39,9.3
138,20.8,273.7,28.9,59.7
139,9.6,43,25.9,20.5
140,20.7,184.9,43.9,1.7
141,10.9,73.4,17,12.9
142,19.2,193.7,35.4,75.6
143,20.1,220.5,33.2,37.9
144,10.4,104.6,5.7,34.4
145,11.4,96.2,14.8,38.9
146,10.3,140.3,1.9,9
147,13.2,240.1,7.3,8.7
148,25.4,243.2,49,44.3
149,10.9,38,40.3,11.9
150,10.1,44.7,25.8,20.6
151,16.1,280.7,13.9,37
152,11.6,121,8.4,48.7
153,16.6,197.6,23.3,14.2
154,19,171.3,39.7,37.7
155,15.6,187.8,21.1,9.5
156,3.2,4.1,11.6,5.7
157,15.3,93.9,43.5,50.5
158,10.1,149.8,1.3,24.3
159,7.3,11.7,36.9,45.2
160,12.9,131.7,18.4,34.6
161,14.4,172.5,18.1,30.7
162,13.3,85.7,35.8,49.3
163,14.9,188.4,18.1,25.6
164,18,163.5,36.8,7.4
165,11.9,117.2,14.7,5.4
166,11.9,234.5,3.4,84.8
167,8,17.9,37.6,21.6
168,12.2,206.8,5.2,19.4
169,17.1,215.4,23.6,57.6
170,15,284.3,10.6,6.4
171,8.4,50,11.6,18.4
172,14.5,164.5,20.9,47.4
173,7.6,19.6,20.1,17
174,11.7,168.4,7.1,12.8
175,11.5,222.4,3.4,13.1
176,27,276.9,48.9,41.8
177,20.2,248.4,30.2,20.3
178,11.7,170.2,7.8,35.2
179,11.8,276.7,2.3,23.7
180,12.6,165.6,10,17.6
181,10.5,156.6,2.6,8.3
182,12.2,218.5,5.4,27.4
183,8.7,56.2,5.7,29.7
184,26.2,287.6,43,71.8
185,17.6,253.8,21.3,30
186,22.6,205,45.1,19.6
187,10.3,139.5,2.1,26.6
188,17.3,191.1,28.7,18.2
189,15.9,286,13.9,3.7
190,6.7,18.7,12.1,23.4
191,10.8,39.5,41.1,5.8
192,9.9,75.5,10.8,6
193,5.9,17.2,4.1,31.6
194,19.6,166.8,42,3.6
195,17.3,149.7,35.6,6
196,7.6,38.2,3.7,13.8
197,9.7,94.2,4.9,8.1
198,12.8,177,9.3,6.4
199,25.5,283.6,42,66.2
200,13.4,232.1,8.6,8.7
